traceIndex,sector,beginTrace(s),endTrace(s)
0,0,0.0,1.0
1,0,1.0,2.0
2,0,2.0,3.0
3,0,3.0,4.0
4,0,4.0,5.0
5,0,5.0,6.0
6,0,6.0,7.0
7,0,7.0,8.0
8,0,8.0,9.0
9,0,9.0,10.0
10,0,10.0,11.0
11,0,11.0,12.0
12,0,12.0,13.0
13,0,13.0,14.0
14,0,14.0,15.0
15,0,15.0,16.0
16,0,16.0,17.0
17,0,17.0,18.0
18,0,18.0,19.0
19,0,19.0,20.0
20,0,20.0,21.0
21,0,21.0,22.0
22,0,22.0,23.0
23,0,23.0,24.0
24,0,24.0,25.0
25,0,25.0,26.0
26,0,26.0,27.0
27,0,27.0,28.0
28,0,28.0,29.0
29,0,29.0,30.0
30,0,30.0,31.0
31,0,31.0,32.0
32,0,32.0,33.0
33,0,33.0,34.0
34,0,34.0,35.0
35,0,35.0,36.0
36,0,36.0,37.0
37,0,37.0,38.0
38,0,38.0,39.0
39,0,39.0,40.0
40,0,40.0,41.0
41,0,41.0,42.0
42,0,42.0,43.0
43,0,43.0,44.0
44,0,44.0,45.0
45,0,45.0,46.0
46,0,46.0,47.0
47,0,47.0,48.0
48,0,48.0,49.0
49,0,49.0,50.0
50,0,50.0,51.0
51,0,51.0,52.0
52,0,52.0,53.0
53,0,53.0,54.0
54,0,54.0,55.0
55,0,55.0,56.0
56,0,56.0,57.0
57,0,57.0,58.0
58,0,58.0,59.0
59,0,59.0,60.0
60,0,60.0,61.0
61,0,61.0,62.0
62,0,62.0,63.0
63,1,63.0,64.0
64,1,64.0,65.0
65,1,65.0,66.0
66,1,66.0,67.0
67,1,67.0,68.0
68,1,68.0,69.0
69,1,69.0,70.0
70,1,70.0,71.0
71,1,71.0,72.0
72,1,72.0,73.0
73,1,73.0,74.0
74,1,74.0,75.0
75,1,75.0,76.0
76,2,76.0,77.0
77,2,77.0,78.0
78,2,78.0,79.0
79,2,79.0,80.0
80,2,80.0,81.0
81,2,81.0,82.0
82,2,82.0,83.0
83,2,83.0,84.0
84,2,84.0,85.0
85,2,85.0,86.0
86,2,86.0,87.0
87,2,87.0,88.0
88,2,88.0,89.0
89,2,89.0,90.0
90,2,90.0,91.0
91,3,91.0,92.0
92,3,92.0,93.0
93,3,93.0,94.0
94,3,94.0,95.0
95,3,95.0,96.0
96,3,96.0,97.0
97,3,97.0,98.0
98,3,98.0,99.0
99,3,99.0,100.0
100,3,100.0,101.0
101,3,101.0,102.0
102,3,102.0,103.0
103,3,103.0,104.0
104,3,104.0,105.0
105,3,105.0,106.0
106,3,106.0,107.0
107,3,107.0,108.0
108,3,108.0,109.0
109,4,109.0,110.0
110,4,110.0,111.0
111,4,111.0,112.0
112,4,112.0,113.0
113,4,113.0,114.0
114,4,114.0,115.0
115,4,115.0,116.0
116,4,116.0,117.0
117,4,117.0,118.0
118,4,118.0,119.0
119,4,119.0,120.0
120,4,120.0,121.0
121,4,121.0,122.0
122,4,122.0,123.0
123,4,123.0,124.0
124,4,124.0,125.0
125,4,125.0,126.0
126,4,126.0,127.0
127,4,127.0,128.0
128,4,128.0,129.0
129,4,129.0,130.0
130,23,130.0,131.0
131,23,131.0,132.0
132,23,132.0,133.0
133,23,133.0,134.0
134,3,134.0,135.0
135,3,135.0,136.0
136,3,136.0,137.0
137,3,137.0,138.0
138,4,138.0,139.0
139,4,139.0,140.0
140,4,140.0,141.0
141,4,141.0,142.0
142,4,142.0,143.0
143,4,143.0,144.0
144,4,144.0,145.0
145,4,145.0,146.0
146,4,146.0,147.0
147,4,147.0,148.0
148,4,148.0,149.0
149,4,149.0,150.0
150,4,150.0,151.0
151,4,151.0,152.0
152,4,152.0,153.0
153,4,153.0,154.0
154,4,154.0,155.0
155,4,155.0,156.0
156,4,156.0,157.0
157,4,157.0,158.0
158,4,158.0,159.0
159,4,159.0,160.0
160,4,160.0,161.0
161,4,161.0,162.0
162,4,162.0,163.0
163,4,163.0,164.0
164,4,164.0,165.0
165,4,165.0,166.0
166,4,166.0,167.0
167,4,167.0,168.0
168,4,168.0,169.0
169,4,169.0,170.0
170,-1,170.0,171.0
171,-1,171.0,172.0
172,-1,172.0,173.0
173,-1,173.0,174.0
174,-1,174.0,175.0
175,-1,175.0,176.0
176,-1,176.0,177.0
177,-1,177.0,178.0
178,-1,178.0,179.0
179,-1,179.0,180.0
180,-1,180.0,181.0
181,-1,181.0,182.0
182,-1,182.0,183.0
183,-1,183.0,184.0
184,-1,184.0,185.0
185,-1,185.0,186.0
186,-1,186.0,187.0
187,-1,187.0,188.0
188,-1,188.0,189.0
189,-1,189.0,190.0
190,-1,190.0,191.0
191,-1,191.0,192.0
192,-1,192.0,193.0
193,-1,193.0,194.0
194,-1,194.0,195.0
195,-1,195.0,196.0
196,-1,196.0,197.0
197,-1,197.0,198.0
198,-1,198.0,199.0
199,-1,199.0,200.0
